Path,URL,Size in bytes (optional but recommended),MD5 Hash (optional but recommended),Filter Terms (optional),Overwrite (optional),Comments (optional)
docs/SNES/Manuals/2020 Super Baseball.pdf,https://archive.org/download/mister-manuals/1991_Super%20Nintendo%20Entertainment%20System.zip/1991_Super%20Nintendo%20Entertainment%20System%2F2020%20Super%20Baseball.pdf,4053682,1ce8356d04d3361f252f04cce5e349d8,,,2020 Super Baseball.pdf
docs/SNES/Manuals/3 Ninjas Kick Back.pdf,https://archive.org/download/mister-manuals/1991_Super%20Nintendo%20Entertainment%20System.zip/1991_Super%20Nintendo%20Entertainment%20System%2F3%20Ninjas%20Kick%20Back.pdf,2142492,0a866b39aaf8cbbce77af13eaf3d6148,,,3 Ninjas Kick Back.pdf
"docs/SNES/Manuals/7th Saga, The.pdf",https://archive.org/download/mister-manuals/1991_Super%20Nintendo%20Entertainment%20System.zip/1991_Super%20Nintendo%20Entertainment%20System%2F7th%20Saga%2C%20The.pdf,4980405,229145b04ba0fd62a69b83b588615cd2,,,"7th Saga, The.pdf"
docs/SNES/Manuals/90 Minutes - European Prime Goal.pdf,https://archive.org/download/mister-manuals/1991_Super%20Nintendo%20Entertainment%20System.zip/1991_Super%20Nintendo%20Entertainment%20System%2F90%20Minutes%20-%20European%20Prime%20Goal.pdf,2851969,f6ef03bcc9204b83a089865621ff258a,,,90 Minutes - European Prime Goal.pdf
docs/SNES/Manuals/A.S.P. - Air Strike Patrol.pdf,https://archive.org/download/mister-manuals/1991_Super%20Nintendo%20Entertainment%20System.zip/1991_Super%20Nintendo%20Entertainment%20System%2FA.S.P.%20-%20Air%20Strike%20Patrol.pdf,3945779,d114b914b759c6fba9f548c80773b086,,,A.S.P. - Air Strike Patrol.pdf
docs/SNES/Manuals/AAAHH!!! Real Monsters.pdf,https://archive.org/download/mister-manuals/1991_Super%20Nintendo%20Entertainment%20System.zip/1991_Super%20Nintendo%20Entertainment%20System%2FAAAHH%21%21%21%20Real%20Monsters.pdf,4891407,873c4c59cd81e854703cdca39d521de5,,,AAAHH!!! Real Monsters.pdf
docs/SNES/Manuals/ABC Monday Night Football.pdf,https://archive.org/download/mister-manuals/1991_Super%20Nintendo%20Entertainment%20System.zip/1991_Super%20Nintendo%20Entertainment%20System%2FABC%20Monday%20Night%20Football.pdf,1514230,a38c401ac3e1434ba1e21377095f3ccb,,,ABC Monday Night Football.pdf
docs/SNES/Manuals/ACME Animation Factory.pdf,https://archive.org/download/mister-manuals/1991_Super%20Nintendo%20Entertainment%20System.zip/1991_Super%20Nintendo%20Entertainment%20System%2FACME%20Animation%20Factory.pdf,5097530,fce538da37b53bbbd8b6b983c9d55045,,,ACME Animation Factory.pdf
docs/SNES/Manuals/ActRaiser 2.pdf,https://archive.org/download/mister-manuals/1991_Super%20Nintendo%20Entertainment%20System.zip/1991_Super%20Nintendo%20Entertainment%20System%2FActRaiser%202.pdf,1260541,cf00370b871358f9491dacf5be06ad01,,,ActRaiser 2.pdf
docs/SNES/Manuals/ActRaiser.pdf,https://archive.org/download/mister-manuals/1991_Super%20Nintendo%20Entertainment%20System.zip/1991_Super%20Nintendo%20Entertainment%20System%2FActRaiser.pdf,3415624,fbc2f9cf6e1017dcb318f9d14bc4bd7b,,,ActRaiser.pdf
